#timestamp x y z qx qy qz qw id
1788163441.366591 -24.984028 26.820654 0.309439 -0.005640 -0.017965 0.999588 -0.021679 63
1788163441.887051 -25.331907 26.799150 0.312458 -0.006286 -0.016176 0.999521 -0.025618 64
1788163442.407526 -25.682606 26.776188 0.313701 -0.012877 -0.010950 0.999351 -0.031810 65
1788163442.928540 -26.014465 26.745100 0.309387 -0.016455 -0.015174 0.996619 -0.079053 66
1788163443.449031 -26.293056 26.656101 0.300108 -0.009983 -0.017173 0.971659 -0.235549 67
1788163443.970090 -26.500008 26.472939 0.302891 -0.000945 -0.003716 0.892209 -0.451607 68
1788163444.489948 -26.597782 26.210951 0.306781 -0.004986 0.002965 -0.761556 0.648073 69
1788163445.009606 -26.573832 25.934120 0.308826 -0.003671 0.004069 -0.586702 0.809784 70
1788163445.530039 -26.426933 25.699129 0.312940 -0.005796 0.000471 -0.376642 0.926340 71
1788163446.049816 -26.181381 25.567379 0.310762 -0.014132 -0.001021 -0.144503 0.989403 72
1788163446.570054 -25.911810 25.558893 0.307395 -0.008885 -0.008547 0.018862 0.999746 73
1788163447.090821 -25.610855 25.580370 0.307006 -0.007131 -0.018208 0.022748 0.999550 74
1788163447.611587 -25.293930 25.605589 0.309227 -0.013879 -0.001921 0.047732 0.998762 75
1788163448.132578 -24.991804 25.648945 0.309400 -0.017762 -0.003973 0.095357 0.995277 76
1788163448.718050 -24.660700 25.756571 0.311437 -0.022243 -0.004272 0.192903 0.980956 77
1788163449.239063 -24.396603 25.897863 0.309765 -0.017064 -0.002123 0.285466 0.958234 78
1788163449.760058 -24.151300 26.095165 0.307998 -0.012432 -0.001069 0.349640 0.936801 79
1788163450.280703 -23.921755 26.284052 0.307324 -0.003661 0.002670 0.303635 0.952778 80
1788163450.801537 -23.697704 26.392593 0.311601 0.019266 -0.000793 0.134542 0.990720 81
1788163451.323555 -23.433544 26.449690 0.311223 0.001086 -0.005721 0.102489 0.994717 82
1788163451.843810 -23.141281 26.510509 0.308762 -0.004722 0.005917 0.106438 0.994291 83
1788163452.430204 -22.817385 26.583586 0.307364 -0.009682 0.003057 0.093819 0.995538 84
1788163452.950562 -22.543287 26.637484 0.307929 -0.007935 -0.002029 0.094306 0.995510 85
1788163453.471654 -22.254753 26.692783 0.311890 -0.014072 0.003503 0.100510 0.994830 86
1788163453.992133 -21.977526 26.744139 0.313428 -0.011499 0.009633 0.075291 0.997049 87
1788163454.513050 -21.703495 26.782042 0.304271 -0.002354 0.011579 0.083156 0.996467 88
1788163455.034084 -21.417545 26.830919 0.306882 -0.001986 0.005814 0.093469 0.995603 89
1788163455.554523 -21.145277 26.877708 0.311136 0.002455 0.003774 0.087853 0.996123 90
1788163456.140581 -20.829308 26.930044 0.309457 -0.002523 0.003584 0.083148 0.996528 91
1788163456.661691 -20.562595 26.979071 0.304380 -0.006987 0.011909 0.063820 0.997866 92
1788163457.182078 -20.299183 27.013615 0.310551 -0.007720 0.011739 0.041817 0.999026 93
1788163457.703046 -20.056776 27.032650 0.309072 -0.014602 0.012741 0.039862 0.999017 94
1788163458.223521 -19.773485 27.053713 0.302234 -0.003600 0.003354 0.050091 0.998733 95
1788163458.744483 -19.481863 27.079544 0.307991 0.006450 0.003649 0.056163 0.998394 96
1788163459.265545 -19.188307 27.107489 0.312519 0.007410 0.007735 0.061441 0.998053 97
1788163459.785585 -18.882151 27.144199 0.308677 -0.005973 0.005684 0.066751 0.997736 98
1788163460.306637 -18.591860 27.182255 0.304651 -0.005202 0.013477 0.062930 0.997913 99
1788163460.827530 -18.313639 27.219503 0.309218 -0.014920 0.004170 0.066348 0.997676 100
1788163461.348064 -18.020864 27.256495 0.312785 -0.011302 0.009001 0.069404 0.997484 101
1788163461.869061 -17.719343 27.296164 0.307986 -0.002219 0.015954 0.075772 0.996995 102
1788163462.389744 -17.439825 27.331785 0.305237 0.017670 0.002061 0.077592 0.996826 103
1788163462.910545 -17.198063 27.351339 0.307345 0.016660 0.011659 0.046148 0.998728 104
1788163463.496557 -16.911497 27.376888 0.306359 -0.001683 0.011096 0.052758 0.998544 105
1788163464.017137 -16.631603 27.406376 0.305919 -0.003475 0.008989 0.054606 0.998461 106
1788163464.538553 -16.390648 27.433388 0.310673 -0.008091 0.008367 0.041897 0.999054 107
1788163465.383557 -16.021925 27.473818 0.305174 -0.006454 0.009248 0.055797 0.998378 108
1788163465.905030 -15.792288 27.502920 0.309554 -0.010469 0.007301 0.063889 0.997875 109
1788163466.425592 -15.555389 27.525969 0.301301 0.013210 0.000010 0.072439 0.997285 110
1788163466.946166 -15.311517 27.567003 0.307413 0.003859 0.000674 0.078983 0.996868 111
1788163467.467026 -15.068296 27.612677 0.302359 -0.004248 0.007581 0.081534 0.996633 112
1788163467.987556 -14.838969 27.654829 0.309088 -0.011335 0.006568 0.088451 0.995994 113
1788163468.508052 -14.597225 27.700338 0.301115 -0.007131 0.006891 0.093870 0.995535 114
1788163469.094079 -14.347467 27.753593 0.304810 0.000716 0.009412 0.101968 0.994743 115
1788163469.614700 -14.141519 27.797968 0.299679 -0.009253 0.006472 0.071781 0.997357 116
1788163470.135071 -13.973048 27.827692 0.306616 -0.010036 0.010332 0.044704 0.998896 117
1788163470.656580 -13.792871 27.836336 0.300489 -0.000326 0.006601 0.026410 0.999629 118
1788163471.177021 -13.589326 27.854813 0.300180 -0.014324 0.004428 0.026019 0.999549 119
1788163471.698014 -13.406751 27.859255 0.306514 -0.011775 -0.000376 0.014433 0.999826 120
1788163472.218050 -13.214066 27.865227 0.302928 -0.012438 0.000586 0.020757 0.999707 121
1788163472.804303 -12.978397 27.875866 0.304137 0.005415 -0.003605 0.029228 0.999552 122
1788163473.324535 -12.751165 27.892897 0.303818 -0.004364 0.002968 0.031738 0.999482 123
1788163473.845078 -12.543653 27.915726 0.306978 -0.013859 0.003741 0.033762 0.999327 124
1788163474.366172 -12.327550 27.926594 0.298524 -0.001238 0.007355 0.042014 0.999089 125
1788163474.886415 -12.120727 27.938057 0.306390 0.005766 0.000400 0.013005 0.999899 126
1788163475.472697 -11.907351 27.922861 0.299254 0.002631 0.007261 -0.130354 0.991437 127
1788163475.993721 -11.769913 27.835472 0.311202 -0.008977 0.006620 -0.340271 0.940261 128
1788163476.579593 -11.688299 27.673485 0.313041 -0.000863 0.006966 -0.581852 0.813265 129
1788163477.100753 -11.695524 27.517540 0.308394 0.008189 -0.010227 -0.773996 0.633055 130
1788163477.622563 -11.766970 27.398113 0.306790 0.000935 -0.019419 0.916622 -0.399283 131
1788163478.143599 -11.893133 27.336218 0.303309 0.002394 -0.013773 0.995201 -0.096847 132
1788163478.665111 -12.033787 27.319616 0.304591 0.011070 -0.012080 0.999776 -0.013401 133
1788163479.185783 -12.167638 27.317812 0.296659 0.017826 -0.012939 0.999677 0.012687 134
1788163479.706821 -12.282764 27.329613 0.293593 0.029338 0.003833 0.999540 0.006703 135
1788163480.297618 -12.435158 27.331858 0.290544 0.022067 -0.000526 0.999707 0.009931 136
1788163480.817563 -12.580274 27.324699 0.294599 0.021608 -0.012294 0.999619 0.011992 137
1788163481.338082 -12.737543 27.325985 0.296664 0.005036 -0.013006 0.999874 0.007582 138
1788163484.526577 -12.744065 27.322351 0.301740 -0.005847 -0.016114 0.999781 -0.012044 144
