time_s,x_m,y_m,dist_to_goal_m
7.328,-0.0001,-0.0005,3.4154
7.332,-0.0001,-0.0006,3.4154
7.354,-0.0001,-0.0007,3.4155
7.385,-0.0001,-0.0007,3.4154
7.416,-0.0001,-0.0007,3.4154
7.461,-0.0001,-0.0007,3.4154
7.489,-0.0001,-0.0006,3.4154
7.53,-0.0001,-0.0006,3.4154
7.552,-0.0001,-0.0006,3.4154
7.574,-0.0001,-0.0007,3.4154
7.62,-0.0001,-0.0006,3.4154
7.65,-0.0001,-0.0007,3.4154
7.681,-0.0001,-0.0007,3.4154
7.719,-0.0001,-0.0006,3.4154
7.738,-0.0001,-0.0006,3.4154
7.771,-0.0001,-0.0006,3.4154
7.809,-0.0001,-0.0006,3.4154
7.835,-0.0001,-0.0008,3.4154
7.852,-0.0001,-0.0008,3.4155
7.88,-0.0001,-0.0008,3.4154
7.917,-0.0002,-0.0007,3.4155
7.954,-0.0002,-0.0008,3.4155
7.99,-0.0002,-0.0006,3.4154
8.038,-0.0002,-0.0006,3.4155
8.067,-0.0001,-0.0008,3.4155
8.098,-0.0001,-0.0007,3.4155
8.116,-0.0002,-0.0008,3.4155
8.157,-0.0002,-0.0008,3.4155
8.165,-0.0002,-0.0007,3.4155
8.193,-0.0001,-0.0006,3.4154
8.233,-0.0001,-0.0006,3.4154
8.247,-0.0001,-0.0007,3.4154
8.283,-0.0001,-0.0007,3.4154
8.313,-0.0001,-0.0008,3.4155
8.354,-0.0,-0.0008,3.4155
8.375,-0.0001,-0.0008,3.4155
8.402,-0.0001,-0.0007,3.4155
8.44,-0.0001,-0.0008,3.4155
8.461,-0.0014,-0.0034,3.4179
8.511,-0.0014,-0.0037,3.418
8.55,0.0002,-0.0026,3.4161
8.586,0.001,-0.002,3.4152
8.589,0.0002,-0.0025,3.4161
8.636,0.0018,-0.0015,3.4142
8.67,0.0011,-0.0019,3.4149
8.731,0.0021,-0.0013,3.4138
8.764,0.0033,-0.0009,3.4126
8.805,0.003,-0.001,3.4129
8.822,0.004,-0.0008,3.4119
8.858,0.0039,-0.0008,3.412
8.882,0.0051,-0.0,3.4106
8.903,0.0055,0.0002,3.4101
8.926,0.0049,-0.0002,3.4108
8.963,0.0055,0.0,3.4102
9.0,0.0054,0.0,3.4103
9.024,0.0061,0.0005,3.4094
9.077,0.0061,0.0005,3.4094
9.11,0.0068,0.0014,3.4084
9.13,0.0078,0.0029,3.4068
9.146,0.0069,0.0016,3.4082
9.183,0.0091,0.0052,3.4045
9.212,0.0084,0.0037,3.4059
9.227,0.0101,0.0078,3.4024
9.281,0.0098,0.0075,3.4028
9.294,0.0113,0.0102,3.4002
9.341,0.0113,0.0104,3.4
9.365,0.0124,0.0118,3.3985
9.387,0.0129,0.0125,3.3976
9.42,0.0126,0.0122,3.398
9.442,0.0136,0.0129,3.3968
9.485,0.0135,0.0128,3.3969
9.515,0.0128,0.0144,3.3967
9.567,0.0129,0.0145,3.3967
9.617,0.0127,0.0167,3.3958
9.637,0.0131,0.0154,3.3961
9.663,0.0125,0.0173,3.3956
9.702,0.0125,0.0173,3.3956
9.731,0.011,0.0179,3.3966
9.749,0.0107,0.0167,3.3975
9.771,0.0111,0.0176,3.3967
9.812,0.0103,0.0157,3.3983
9.855,0.0105,0.0162,3.3979
9.881,0.0098,0.0155,3.3989
9.926,0.01,0.0155,3.3987
9.969,0.009,0.0155,3.3995
9.987,0.0092,0.0155,3.3994
10.013,0.0085,0.0153,3.4001
10.043,0.0085,0.0153,3.4001
10.078,0.0079,0.0149,3.4008
10.125,0.0079,0.0148,3.4009
10.148,0.0074,0.0145,3.4015
10.166,0.007,0.0143,3.4019
10.191,0.0073,0.0144,3.4016
10.233,0.0066,0.0139,3.4024
10.281,0.0068,0.0141,3.4022
10.307,0.0063,0.0134,3.4029
10.332,0.0064,0.0136,3.4027
10.369,0.0042,0.0116,3.4057
10.402,0.0044,0.0118,3.4054
10.417,0.0052,0.0123,3.4045
10.446,0.004,0.012,3.4056
10.475,0.0048,0.0125,3.4047
10.507,0.0033,0.0105,3.407
10.538,0.0033,0.0107,3.4069
10.584,0.0032,0.0105,3.407
10.6,0.0022,0.0099,3.4082
10.636,0.0033,0.0104,3.407
10.665,0.0016,0.011,3.4082
10.69,0.002,0.0101,3.4083
10.742,0.0011,0.0125,3.408
10.774,0.0013,0.0116,3.4081
10.82,0.0009,0.0154,3.4067
10.84,0.001,0.0143,3.4072
10.877,0.0014,0.0176,3.4052
10.896,0.0013,0.017,3.4056
10.94,0.0018,0.0193,3.4041
10.966,0.0018,0.0192,3.4041
11.017,0.0038,0.0221,3.4009
11.036,0.0031,0.0212,3.4019
11.084,0.0048,0.0233,3.3994
11.115,0.0046,0.0231,3.3997
11.166,0.0062,0.025,3.3974
11.172,0.0059,0.0247,3.3978
11.205,0.0071,0.0263,3.396
11.229,0.0076,0.0271,3.3951
11.243,0.0071,0.0263,3.396
11.288,0.0085,0.0277,3.3941
11.335,0.0077,0.0274,3.3949
11.39,0.0143,0.0264,3.3896
11.414,0.0101,0.0277,3.3927
11.443,0.0113,0.0238,3.3935
11.47,0.0128,0.0249,3.3917
11.496,0.0074,0.0242,3.3967
11.534,0.0083,0.0241,3.396
11.566,0.0058,0.0281,3.3963
11.588,0.0061,0.0274,3.3963
11.616,0.0014,0.0296,3.3994
11.662,0.0014,0.0296,3.3994
11.701,0.0008,0.0303,3.3995
11.74,0.0011,0.0302,3.3993
11.779,0.0015,0.0293,3.3994
11.829,0.0013,0.0295,3.3994
11.872,0.0018,0.0283,3.3996
11.89,0.0017,0.0285,3.3996
11.916,0.0016,0.0281,3.3999
11.978,0.0017,0.0281,3.3998
12.018,0.0014,0.0278,3.4002
12.028,0.0015,0.0279,3.4001
12.066,0.0013,0.0277,3.4003
12.082,0.0014,0.0277,3.4003
12.109,0.0013,0.0276,3.4004
12.152,0.0013,0.0275,3.4005
12.176,0.0003,0.028,3.401
12.191,-0.0002,0.0266,3.4022
12.228,0.0011,0.0286,3.4001
12.28,-0.0013,0.0258,3.4036
12.308,-0.001,0.026,3.4032
12.332,-0.0015,0.0257,3.4038
12.374,-0.0014,0.0257,3.4037
12.381,-0.0009,0.0252,3.4035
12.41,-0.0009,0.0244,3.4039
12.437,0.0,0.0251,3.4027
12.502,-0.0021,0.0242,3.405
12.513,-0.0014,0.0244,3.4043
12.544,-0.0023,0.0237,3.4054
12.573,-0.0022,0.0239,3.4053
12.581,-0.0021,0.0228,3.4057
12.618,-0.0017,0.022,3.4057
12.637,-0.0019,0.0225,3.4056
12.672,-0.0017,0.0219,3.4058
12.708,-0.0017,0.022,3.4058
12.74,-0.0017,0.0218,3.4059
12.797,-0.0017,0.0218,3.4059
12.823,-0.0017,0.0216,3.4059
12.856,-0.0016,0.0216,3.4059
12.892,-0.0016,0.0216,3.4059
12.933,-0.0016,0.0216,3.4059
12.972,-0.0017,0.0216,3.4059
12.999,-0.0017,0.0216,3.4059
13.035,-0.0017,0.0215,3.406
13.048,-0.0017,0.0215,3.406
13.068,-0.0017,0.0215,3.406
13.106,-0.0018,0.0214,3.4061
13.155,-0.0018,0.0214,3.4061
13.201,-0.0018,0.0214,3.4062
13.208,-0.0018,0.0214,3.4061
13.235,-0.0019,0.0214,3.4062
13.265,-0.0019,0.0214,3.4062
13.299,-0.0019,0.0212,3.4063
13.338,-0.0019,0.0212,3.4063
13.367,-0.0019,0.0212,3.4063
13.384,-0.002,0.0212,3.4064
13.408,-0.0019,0.0212,3.4063
13.463,-0.002,0.0211,3.4065
13.481,-0.002,0.0211,3.4064
13.516,-0.002,0.0212,3.4064
13.553,-0.002,0.0212,3.4064
13.58,-0.002,0.0212,3.4064
13.627,-0.002,0.0212,3.4064
13.639,-0.002,0.0212,3.4064
13.67,-0.002,0.0212,3.4064
13.698,-0.002,0.0213,3.4064
13.756,-0.002,0.0213,3.4064
13.792,-0.002,0.0212,3.4064
13.8,-0.002,0.0212,3.4064
13.83,-0.002,0.0212,3.4064
13.866,-0.002,0.0213,3.4064
13.893,-0.002,0.0212,3.4064
13.934,-0.0021,0.0213,3.4064
13.959,-0.0021,0.0213,3.4064
13.994,-0.002,0.0213,3.4064
14.037,-0.002,0.0213,3.4064
14.061,-0.002,0.0213,3.4064
14.082,-0.0021,0.0213,3.4064
14.116,-0.0021,0.0213,3.4064
14.164,-0.0021,0.0214,3.4064
14.186,-0.0021,0.0214,3.4064
14.218,-0.002,0.0214,3.4063
14.238,-0.0021,0.0214,3.4063
14.258,-0.0021,0.0214,3.4063
14.313,-0.0021,0.0214,3.4064
14.327,-0.0021,0.0214,3.4064
14.368,-0.0039,0.0234,3.407
14.404,-0.0028,0.0228,3.4063
14.439,-0.0052,0.0221,3.4087
