frame_index,video_time_s,episode_time_s,source_receipt_unix_ns,source_header_ns,hold_age_s
136,9.066666666666666,9.066666667,1789314478785257193,1789314478735109016,0.058898370000000005
137,9.133333333333333,9.133333333000001,1789314478854960811,1789314478795953835,0.055861418
138,9.2,9.200000000000001,1789314478925125450,1789314478866383788,0.052363446
139,9.266666666666667,9.266666667,1789314478992744474,1789314478941595973,0.051411089
140,9.333333333333334,9.333333333,1789314479069604221,1789314479007899749,0.041218008
141,9.4,9.4,1789314479138680703,1789314479083885268,0.038808193000000005
142,9.466666666666667,9.466666667,1789314479210299856,1789314479148134587,0.033855707
143,9.533333333333333,9.533333333,1789314479281797392,1789314479225462299,0.029024837
144,9.6,9.600000000000001,1789314479338483220,1789314479284495027,0.039005676
145,9.666666666666666,9.666666667000001,1789314479420251516,1789314479359870642,0.023904047
146,9.733333333333333,9.733333333000001,1789314479496976332,1789314479433729769,0.013845897000000001
147,9.8,9.8,1789314479558246699,1789314479501834635,0.019242197000000003
148,9.866666666666667,9.866666667,1789314479636147286,1789314479572870319,0.008008277000000001
149,9.933333333333334,9.933333333,1789314479697385809,1789314479635972511,0.013436420000000001
150,10.0,10.0,1789314479774167208,1789314479708869112,0.003321688
151,10.066666666666666,10.066666667,1789314479840459612,1789314479774008308,0.0036959510000000003
152,10.133333333333333,10.133333333000001,1789314479904473380,1789314479847967256,0.006348849
153,10.2,10.200000000000001,1789314479904473380,1789314479847967256,0.073015516
154,10.266666666666667,10.266666667,1789314479980187087,1789314479911293061,0.06396847600000001
155,10.333333333333334,10.333333333,1789314480050946917,1789314479986777618,0.05987531200000001
156,10.4,10.4,1789314480173791251,1789314480132994434,0.0036976450000000003
157,10.466666666666667,10.466666667,1789314480173791251,1789314480132994434,0.070364312
158,10.533333333333333,10.533333333,1789314480274458398,1789314480202620863,0.036363831
159,10.6,10.600000000000001,1789314480340552554,1789314480273854959,0.036936342000000004
160,10.666666666666666,10.666666667000001,1789314480422940468,1789314480346928752,0.021215095
161,10.733333333333333,10.733333333000001,1789314480485906629,1789314480424845198,0.024915600000000003
162,10.8,10.8,1789314480551277459,1789314480488948885,0.026211437
163,10.866666666666667,10.866666667,1789314480629884844,1789314480564288352,0.014270719000000001
164,10.933333333333334,10.933333333,1789314480687711578,1789314480631920087,0.023110651000000003
165,11.0,11.0,1789314480753886129,1789314480694546204,0.023602767
166,11.066666666666666,11.066666667000002,1789314480822070768,1789314480753116716,0.022084795
167,11.133333333333333,11.133333333000001,1789314480888802032,1789314480845517081,0.022020197000000002
168,11.2,11.200000000000001,1789314480964499435,1789314480906127541,0.012989461
169,11.266666666666667,11.266666667,1789314480964499435,1789314480906127541,0.079656128
170,11.333333333333334,11.333333333,1789314481103771763,1789314481048022145,0.007050466
171,11.4,11.4,1789314481165823872,1789314481108031074,0.011665024000000001
172,11.466666666666667,11.466666667,1789314481233152738,1789314481180272008,0.011002825
173,11.533333333333333,11.533333333,1789314481302154431,1789314481247412657,0.008667798
174,11.6,11.600000000000001,1789314481302154431,1789314481247412657,0.075334465
