run,result,navigation,goal,look_execution,turn_speed_radps,duration_s,final_goal_distance_m,path_10hz_m,path_per_episode_s,macro_count,macro_covered_s,other_time_s,macro_overlap_s,vlm_call_count,vlm_error_count,http_pending_union_s,http_overlaps_macro_s,http_overlaps_nonzero_translation_command_s,http_pending_outside_macros_s,http_latency_median_s,navigation_http_median_s,navigation_http_p95_s,translation_nonzero_command_s,translation_zero_command_s,rotation_nonzero_command_s,rotation_zero_command_s,initial_to_first_translate_s,observation_or_alignment_turn_s,look_forward_10cm_s,forward_s,look_forward_20cm_s,policy_turn_s
original5/full-goal-5-006,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,full,5,forward_0p2,0.8,236.24307298660278,5.044090747833252,9.533792291480385,0.04035585962777009,70,174.35411143302917,61.88896155357361,0.0,129,0,54.99627137184143,33.172712087631226,15.428589105606079,21.823559284210205,0.6009018339991599,2.782119970000167,3.058324882550096,29.951072938012658,8.446244266991926,59.7323397509972,74.3310627750052,26.067660331726074,64.26003217697144,,12.908849239349365,26.172715663909912,71.01251435279846
long5/full-goal-5-001,TRIAL_TIME_LIMIT,full,5,forward_0p2,0.8,360.0188660621643,1.5130161046981812,20.532253933215518,0.05703104994967187,105,263.19994854927063,96.81891751289368,0.0,144,0,107.85266017913818,63.13149070739746,37.8877694606781,44.72116947174072,0.7493553209999391,2.930429540499972,3.4795244092000073,67.30619232599815,23.45340452700202,61.50337714099987,107.84066643800043,23.727691650390625,125.22846841812134,,55.061176776885986,37.62143898010254,45.28886437416077
recaptured5/direct_goal-goal-4-002,PIXNAV_TERMINAL_BEFORE_GOAL,direct_goal,4,forward_0p2,0.8,35.39609098434448,7.46298360824585,4.908258956244584,0.13866669509962223,20,26.69112277030945,8.704968214035034,0.0,0,0,0,0,0,0,,,,20.037165867999192,6.012385410999286,0,0,0.6932427883148193,,,13.881446123123169,12.80967664718628,
recaptured5/direct_goal-goal-4-003,PIXNAV_TERMINAL_BEFORE_GOAL,direct_goal,4,forward_0p2,0.8,59.3399019241333,5.661212921142578,7.058639332172709,0.11895266259787984,30,45.49194121360779,13.847960710525513,0.0,0,0,0,0,0,0,,,,27.301253593999718,7.388128765000602,3.8982699459998003,6.10533723700064,0.8536214828491211,,,31.25553250312805,4.124371528625488,10.112037181854248
recaptured5/direct_goal-goal-4-004,PIXNAV_TERMINAL_BEFORE_GOAL,direct_goal,4,forward_0p2,0.8,70.53501415252686,9.3451509475708,6.005540031470449,0.08514267847857668,28,57.97406363487244,12.560950517654419,0.0,0,0,0,0,0,0,,,,21.744791646999147,6.349057239002832,8.742660652001177,20.4410771189996,0.731053352355957,,,13.687174797058105,14.955597162246704,29.331291675567627
recaptured5/direct_goal-goal-4-005,PIXNAV_TERMINAL_BEFORE_GOAL,direct_goal,4,forward_0p2,0.8,58.900246143341064,8.790611267089844,3.730877812615774,0.06334231275598101,20,49.651740312576294,9.24850583076477,0.0,0,0,0,0,0,0,,,,12.345567434001168,3.6892526600004203,10.021854450999854,23.174829151000267,0.734062910079956,,,12.536430358886719,3.754315137863159,33.360994815826416
recaptured5/direct_goal-goal-4-006,PIXNAV_TERMINAL_BEFORE_GOAL,direct_goal,4,forward_0p2,0.8,27.479006052017212,9.466014862060547,3.7293541689550866,0.13571648704816663,15,20.77262234687805,6.70638370513916,0.0,0,0,0,0,0,0,,,,14.274062164000497,4.0777032259993575,0.9975212959998316,0.9578021010001976,0.7833571434020996,,,15.121639251708984,3.647461414337158,2.003521680831909
recaptured5/full-goal-4-002,CONTROLLER_INHIBITED:LOCALIZED_POSE_STALE,full,4,forward_0p2,0.8,124.27811980247498,6.2302470207214355,6.656622299534619,0.053562302922787325,35,89.493234872818,34.78488492965698,0.0,49,0,33.703022480010986,19.5601749420166,13.761223077774048,14.142847537994385,0.7110309109993977,2.8514650904999144,3.041139756100483,22.893820884999514,7.321261614001742,20.018759054001748,38.50645888700092,38.304999589920044,50.373526096343994,,19.486281394958496,11.233717679977417,8.399709701538086
recaptured5/full-goal-4-003,CONTROLLER_INHIBITED:NODE_UNAVAILABLE:rtab_pointgoal_adapter,full,4,forward_0p2,0.8,312.5742928981781,52.435916900634766,63.42702609723435,0.20291824228135058,27,84.17199540138245,228.40229749679565,0.0,25,14,155.70655512809753,21.78030037879944,13.92303204536438,133.9262547492981,30.029534070999944,3.1955306009995184,3.1955306009995184,14.620961458001148,4.513020047997998,20.522825434003607,43.85157802199956,55.16867780685425,61.64980459213257,,16.70522904396057,2.7752997875213623,3.0416619777679443
recaptured5/full-goal-5-001,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,5,forward_0p2,0.8,235.49578595161438,7.689561367034912,12.134657790130236,0.0515281313467896,69,175.89507007598877,59.60071587562561,0.0,100,0,63.706791639328,38.164225816726685,21.327922344207764,25.54256582260132,0.629106474000082,2.817635040500136,3.0577082427499818,38.40337921700029,11.930553287998464,41.933848096997735,81.91578905600181,37.43888258934021,96.59479331970215,,23.706117153167725,27.653435707092285,27.94072389602661
