run,index,kind,category,command_id,target,progress,status,start_unix,end_unix,elapsed_s,observed_nonzero_command_s,observed_zero_command_s,unclassified_macro_s,mean_progress_per_macro_s,first_zero_command_elapsed_s,correction_restarts,command_near_0p5_s,translation_nonzero_ticks,translation_with_yaw_correction_ticks,measured_moving_twist_median_mps,measured_turn_rate_median_radps,matched_moving_twist_samples,command_receipt_to_start_s,terminal_to_result_receipt_s
original5/full-goal-3-006,11,translate,look_forward_20cm,pixnav-815247139676d7c0dcb52592-step-3,0.20000000298023224,0.20705422911316845,OK,1789300225.208394,1789300226.5067637,1.2983696119999877,0.9486989180004457,0.30868121899948164,0.04098947500006034,0.15947248549219004,0.989688393000506,0,0.15091283099991415,19,11,0.2019259595103771,,19,0.0038399696350097656,0.04023241996765137
original5/full-goal-3-006,12,rotate,policy_turn,pixnav-d3a208febc5f4596677bdcb9-preturn-0,-0.5235987755982988,-0.552515352294037,OK,1789300226.7494547,1789300232.8618455,6.112390749000042,2.1475343000001885,3.9129563419992337,0.051900107000619755,0.09039267530211904,1.6006154020005852,1,0.0,0,0,,0.34867525386052856,0,0.00016880035400390625,0.011901617050170898
original5/full-goal-3-006,13,translate,look_forward_20cm,pixnav-a06168a423bd53f13b5944ee-step-0,0.20000000298023224,0.2198594012290317,OK,1789300233.0718126,1789300234.5504937,1.4786811039994063,0.947823526999855,0.5035434759993223,0.02731410100022913,0.14868615053940662,0.9751376280000841,0,0.0,19,10,0.22634763294053561,,19,-0.012943267822265625,0.032543182373046875
original5/full-goal-3-006,14,translate,look_forward_20cm,pixnav-0a06f3074c00e34b28eda335-step-1,0.20000000298023224,0.2185964345126867,OK,1789300234.7801518,1789300236.1118507,1.331698855000468,0.8943772259999605,0.41377593200013507,0.023545697000372456,0.1641485488193274,0.917922923000333,0,0.037452919999850565,18,18,0.23374273416353036,,18,0.0035829544067382812,0.04221916198730469
original5/full-goal-3-006,15,translate,look_forward_20cm,pixnav-7ea93a44128ce3f5a9a85009-step-2,0.20000000298023224,0.22312602450532007,OK,1789300236.343518,1789300237.5496202,1.2061022039997624,0.9308542490007312,0.251362753999274,0.023885200999757217,0.1849976094607684,0.9547394500004884,0,0.053856068000641244,19,19,0.289118994645557,,19,0.0003371238708496094,0.0701909065246582
original5/full-goal-3-006,16,translate,look_forward_20cm,pixnav-96f8dcf1123a4c5333117d52-step-3,0.20000000298023224,0.22797397390426424,OK,1789300237.7953458,1789300239.0081937,1.2128480490000584,0.9477103059998626,0.26059474300018337,0.004543000000012398,0.18796581656887612,0.952253305999875,0,0.09989957200014032,19,19,0.25920787896408,,19,-0.0023202896118164062,0.0470583438873291
original5/full-goal-3-006,17,translate,look_forward_20cm,pixnav-356462d4bedd86b16ce9ef33-step-4,0.20000000298023224,0.2236099448220789,OK,1789300239.3111212,1789300240.515145,1.204023872000107,0.8860390410000036,0.26731614700020145,0.05066868399990199,0.18571886324032869,0.9367077249999056,0,0.09393947999978991,18,18,0.24074815529079124,,18,0.011286258697509766,0.03314089775085449
original5/full-goal-3-006,18,rotate,observation_or_alignment_turn,rotate,-0.37560631461135036,-0.37968102757762745,OK,1789300240.69132,1789300242.7540033,2.0626833420001276,1.0973818259999462,0.9549738249997972,0.01032769100038422,0.18407140827028795,1.1077095170003304,0,0.0,0,0,,0.3556598286646141,0,,
original5/full-goal-3-006,19,rotate,observation_or_alignment_turn,rotate,0.5274436478430735,0.49988600028178887,OK,1789300243.6398203,1789300246.0118628,2.372042396999859,1.3978374069993151,0.9643065039999783,0.009898486000565754,0.21074075274288553,1.4077358929998809,0,0.0,0,0,,0.3645049330858,0,,
original5/full-goal-3-006,20,rotate,observation_or_alignment_turn,rotate,-1.018377021616842,-1.0255640110322375,OK,1789300247.6384048,1789300251.4510057,3.812600936999843,3.0989701600001354,0.7035501699992892,0.01008060700041824,0.2689932746644236,3.1090507670005536,0,0.0,0,0,,0.32756878435611725,0,,
original5/full-goal-3-006,21,rotate,observation_or_alignment_turn,rotate,0.9122733548367226,0.9060559234274244,OK,1789300251.649356,1789300257.6039362,5.954580304999581,3.6972001120011555,2.254531225999017,0.0028489669994087308,0.15216117291535766,2.552941353999813,2,0.0,0,0,,0.30519822239875793,0,,
original5/full-goal-3-006,22,rotate,policy_turn,pixnav-dbb88cffaa0694489fb96dbf-preturn-0,-0.5235987755982988,-0.5220092681028821,OK,1789300265.1816401,1789300271.1253011,5.943661036999401,2.350479895000717,3.577406601999428,0.015774539999256376,0.08782621768862063,1.6669686499999443,2,0.0,0,0,,0.3362362192259799,0,0.003116130828857422,0.014107942581176758
original5/full-goal-3-006,23,translate,look_forward_20cm,pixnav-d26eea4c5d65ab72a9e76874-step-0,0.20000000298023224,0.2261122731784818,OK,1789300271.3922873,1789300272.5634203,1.1711331229998905,0.9021489550004844,0.2590196319997631,0.009964535999642976,0.19307136715533144,0.9121134910001274,0,0.04392672199992376,18,1,0.2327041305312083,,18,-0.0013327598571777344,0.06733274459838867
original5/full-goal-3-006,24,translate,look_forward_20cm,pixnav-2ac7aef81f5fe86fa57386fa-step-1,0.20000000298023224,0.21800004584095553,OK,1789300272.913156,1789300274.2125437,1.299387666000257,0.8975069010002699,0.36443707099988387,0.03744369400010328,0.1677713676565808,0.9349505950003731,0,0.07292703800067102,18,18,0.22143619431183365,,18,-0.004973888397216797,0.03670334815979004
original5/full-goal-3-006,25,translate,forward,pixnav-071a14f2275e519ae330c3c6-step-2,0.25,0.26069956363070257,OK,1789300274.461142,1789300275.8498497,1.3887075319998985,1.0294873190005092,0.3493397449992699,0.009880468000119436,0.18772819879162406,1.0393677870006286,0,0.23526480599957722,21,21,0.24753343250704493,,21,0.023977994918823242,0.04445338249206543
