episode_time_s,odom_x_m,odom_y_m,start_forward_m,start_left_m,yaw_relative_rad,cumulative_path_m,goal_distance_interpolated_m
1.6,-3.122584868362968,3.2470414196369815,0.00023811943254252013,0.00018896349581873627,-0.0004271538529652119,0.001368648953023591,12.526047882469225
1.7,-3.1224725321286586,3.2470655451978057,0.00019399436980068304,8.2876498208629e-05,-0.0004003595237653812,0.001483546612807844,12.52606055253266
1.8,-3.1225269207169433,3.2469979537004305,0.00016939381463102694,0.00016607230181886907,-0.00048661761356960653,0.001570303336195769,12.526107454591605
1.9,-3.122418003642729,3.247041809556582,0.00014343563754039238,5.156274668775004e-05,-0.0005973775289307426,0.001687718263586606,12.526100326905663
2.0,-3.12244482228389,3.2470040321350098,0.00012764816644521566,9.511878933169353e-05,-0.0005592822981204115,0.0017340472296271088,12.526127673620078
2.1,-3.1223930822414068,3.247089063061216,0.00016809354718223715,4.17121330722292e-06,-0.0006045047552709626,0.0018335826022726639,12.526063390908616
2.2,-3.122402874277319,3.2470405942992966,0.0001338226831648468,3.981686842568267e-05,-0.0005580963038909204,0.0018830306037421129,12.526106268373354
2.3,-3.1223990895731557,3.2470434010345866,0.0001339752683857009,3.51074665164421e-05,-0.0006817204754039352,0.0018877424768932473,12.526104803864266
2.4,-3.122360047634463,3.247033172004553,0.00010333751948812621,8.835154574040888e-06,-0.0005153707696785581,0.0019281021849237778,12.526126864475392
2.5,-3.1224080508534264,3.246984285238857,9.047853464146551e-05,7.613204454510112e-05,-0.0007530875654357949,0.001996616598670548,12.526158043958004
2.6,-3.122314348742613,3.2470518219580327,9.265092223067929e-05,-3.935204414299593e-05,-0.0006282964860533369,0.002112121118097097,12.526123638088112
2.7,-3.1223652527894954,3.2469672230953504,5.208476532309557e-05,5.066226844068144e-05,-0.0007352502339994516,0.0022108540384234133,12.526187775175723
2.8,-3.1223188136042737,3.2470708603328995,0.00011084435280194025,-4.652099045811716e-05,-0.0006965232942794941,0.0023244202082578977,12.526104165343947
2.9,-3.1223181848009545,3.246989772054974,4.382402924851087e-05,-8.703558365403073e-07,-0.0006350641431231985,0.0024055109241910987,12.526181283495625
3.0,-3.1223037764184967,3.247051734770508,8.655989823017102e-05,-4.799386487169341e-05,-0.0007330588854248531,0.0024691267995792733,12.526127067185135
3.1,-3.122983275643894,3.2474786780702765,0.0008244206458353296,0.0002675394862600125,-0.01573672570228979,0.0032716227675023825,12.525507007834374
3.2,-3.125201683849016,3.248009410703257,0.0025237832140146154,0.001789110698571466,-0.03886895285180403,0.005552633967006638,12.524301611715792
3.3,-3.1288739763823163,3.24825624261202,0.004817520577570307,0.00466755252503664,-0.06025556527056519,0.009233212514098872,12.522906229518629
3.4,-3.1311365161250855,3.247675161810887,0.0056279925074277605,0.006858414509728539,-0.07901605333998285,0.011569179334294525,12.522742590713495
3.5,-3.132859244470684,3.2471955024968633,0.006214501240551243,0.008547755658291533,-0.09807825664635228,0.01335743714855349,12.522653597075072
3.6,-3.1353807572732513,3.24657256389033,0.007138008237580465,0.010975349971074968,-0.12190504303944306,0.015954758715287266,12.522448715617092
3.7,-3.1384259499080054,3.245798376009711,0.00823533072945043,0.013919572857694483,-0.14850915460641545,0.01909682253660883,12.522222755485405
3.8,-3.1412691445883154,3.2452688947420403,0.009418818009931641,0.016558410529832864,-0.1712214945381243,0.021988899022969022,12.521828990647512
3.9,-3.143167229121233,3.2450044888687946,0.01028212460360016,0.018269356784171912,-0.18545158933704783,0.023905311128939018,12.521481946449116
4.0,-3.1462718896519215,3.244673733833203,0.011777849293640822,0.02100999969341533,-0.2128730186819474,0.027027540445370382,12.520818346001699
4.1,-3.1487930259465484,3.244412058057563,0.012998134501759217,0.023231599666067776,-0.2337160066559234,0.02956222039117062,12.520273454366802
4.2,-3.152219877965239,3.2452703273119985,0.015654790367333547,0.02556014437962207,-0.26120240653681526,0.03309491636890662,12.5183811688636
4.3,-3.1537582887949824,3.2464375206935094,0.017490228331978205,0.026160324143406563,-0.2735888332475169,0.03502599075145001,12.516789614891962
